"Date","Price","Open","High","Low","Vol.","Change %"
"05/20/2025","7.2195","7.2156","7.2254","7.2156","","0.06%"
"05/19/2025","7.2149","7.2087","7.2172","7.2087","","0.07%"
"05/16/2025","7.2095","7.2047","7.2095","7.1988","","0.03%"
"05/15/2025","7.2073","7.2112","7.2179","7.2050","","-0.02%"
"05/14/2025","7.2085","7.2024","7.2190","7.2012","","0.03%"
"05/13/2025","7.2064","7.1935","7.2064","7.1867","","0.05%"
"05/12/2025","7.2029","7.2282","7.2303","7.2009","","-0.47%"
"05/09/2025","7.2370","7.2436","7.2521","7.2367","","0.03%"
"05/08/2025","7.2348","7.2363","7.2416","7.2325","","0.13%"
"05/07/2025","7.2253","7.2195","7.2330","7.2195","","0.11%"
"05/06/2025","7.2171","7.2359","7.2388","7.2110","","-0.75%"
"05/05/2025","7.2714","7.2714","7.2714","7.2714","","0.00%"
"05/02/2025","7.2714","7.2714","7.2714","7.2714","","0.00%"
"05/01/2025","7.2714","7.2714","7.2714","7.2714","","0.00%"
"04/30/2025","7.2714","7.2757","7.2770","7.2614","","0.03%"
"04/29/2025","7.2695","7.2875","7.2888","7.2596","","-0.35%"
"04/28/2025","7.2947","7.2906","7.3008","7.2906","","0.10%"
"04/25/2025","7.2877","7.2941","7.2980","7.2830","","-0.01%"
"04/24/2025","7.2884","7.2947","7.3014","7.2863","","0.02%"
"04/23/2025","7.2870","7.3036","7.3086","7.2858","","-0.35%"
"04/22/2025","7.3123","7.3019","7.3146","7.3010","","0.29%"
"04/21/2025","7.2914","7.2920","7.2964","7.2826","","-0.11%"
"04/18/2025","7.2995","7.3029","7.3053","7.2870","","0.01%"
"04/17/2025","7.2990","7.3123","7.3137","7.2941","","-0.09%"
"04/16/2025","7.3053","7.3254","7.3289","7.3015","","-0.13%"
"04/15/2025","7.3151","7.3087","7.3180","7.3055","","0.04%"
"04/14/2025","7.3119","7.3059","7.3139","7.2993","","0.28%"
"04/11/2025","7.2916","7.3074","7.3259","7.2921","","-0.31%"
"04/10/2025","7.3140","7.3509","7.3511","7.3145","","-0.49%"
"04/09/2025","7.3499","7.3461","7.3501","7.3461","","0.15%"
"04/08/2025","7.3388","7.3361","7.3389","7.3272","","0.42%"
"04/07/2025","7.3081","7.3072","7.3182","7.3039","","0.37%"
"04/04/2025","7.2813","7.2813","7.2813","7.2813","","0.00%"
"04/03/2025","7.2813","7.2978","7.3047","7.2821","","0.19%"
"04/02/2025","7.2675","7.2714","7.2720","7.2670","","-0.03%"
"04/01/2025","7.2697","7.2606","7.2703","7.2603","","0.18%"
"03/31/2025","7.2567","7.2577","7.2589","7.2473","","-0.08%"
"03/28/2025","7.2628","7.2631","7.2661","7.2614","","-0.02%"
"03/27/2025","7.2645","7.2645","7.2682","7.2598","","-0.04%"
"03/26/2025","7.2675","7.2611","7.2683","7.2611","","0.15%"
"03/25/2025","7.2569","7.2631","7.2639","7.2567","","0.05%"
"03/24/2025","7.2531","7.2578","7.2607","7.2509","","0.06%"
"03/21/2025","7.2486","7.2504","7.2534","7.2448","","0.01%"
"03/20/2025","7.2477","7.2278","7.2487","7.2251","","0.24%"
"03/19/2025","7.2301","7.2317","7.2383","7.2297","","0.04%"
"03/18/2025","7.2273","7.2306","7.2363","7.2217","","-0.07%"
"03/17/2025","7.2327","7.2276","7.2412","7.2236","","-0.07%"
"03/14/2025","7.2377","7.2503","7.2514","7.2289","","-0.09%"
"03/13/2025","7.2439","7.2381","7.2479","7.2300","","0.09%"
"03/12/2025","7.2371","7.2196","7.2486","7.2161","","0.13%"
"03/11/2025","7.2278","7.2569","7.2599","7.2260","","-0.43%"
"03/10/2025","7.2591","7.2431","7.2655","7.2426","","0.35%"
"03/07/2025","7.2340","7.2509","7.2532","7.2275","","-0.18%"
"03/06/2025","7.2468","7.2417","7.2508","7.2356","","-0.05%"
"03/05/2025","7.2506","7.2667","7.2730","7.2516","","-0.20%"
"03/04/2025","7.2651","7.2880","7.2890","7.2571","","-0.26%"
"03/03/2025","7.2843","7.2826","7.2935","7.2794","","0.02%"
"02/28/2025","7.2828","7.2897","7.2910","7.2783","","-0.03%"
"02/27/2025","7.2853","7.2640","7.2872","7.2595","","0.36%"
"02/26/2025","7.2595","7.2518","7.2619","7.2513","","0.11%"
"02/25/2025","7.2512","7.2606","7.2661","7.2520","","0.05%"
"02/24/2025","7.2476","7.2487","7.2522","7.2288","","-0.03%"
"02/21/2025","7.2501","7.2563","7.2574","7.2372","","-0.07%"
"02/20/2025","7.2555","7.2838","7.2838","7.2563","","-0.38%"
"02/19/2025","7.2833","7.2800","7.2867","7.2800","","0.06%"
